noun;cardinality;type
corps;168;rel-uniq
torment;168;
senior;165;
Domine;134;ind
omne;129;
honors;123;
num;120;
di;114;uniq
fied;102;
pais;95;
om;89;
di;70;uniq
queu;65;
monstier;61;
dom;57;ind
corps;55;rel-uniq
regnet;52;
gratia;43;
om;42;
monstier;36;
om;36;
reis;35;
ira;35;
consilier;33;ind
queu;33;
domine;33;ind
rei;32;
evesquet;30;ind
mistier;26;
temps;23;
rei;23;
miel;23;
Reis;22;
rei;15;
monstier;15;
flaiel;13;
miel;11;
temps;8;
miel;6;
corps;6;rel-uniq
miel;4;
rei;3;
monstier;3;
bien;2;mass
rei;2;
miel;1;
corps;1;rel-uniq
sancz;0;
honor;0;
amor;0;abs
sanz;0;
aanz;0;ind
seniors;0;
aanz;0;ind
deumentiz;0;na
infans;0;
parent;0;
fils;0;
litteras;0;
ebisque;0;ind
magistre;0;
art;0;abs
tiemps;0;
abbas;0;rel-uniq
juvent;0;
temps;0;
caritet;0;abs
fid;0;
veritiet;0;
raizons;0;
sermons;0;
humilitiet;0;
bien;0;mass
curt;0;rel
evesque;0;ind
reis;0;
damz;0;ind
baron;0;ind
fiet;0;
compte;0;ind
estrit;0;ind
fredre;0;
piers;0;
gred;0;
conseil;0;ind
gret;0;
dol;0;abs
duol;0;abs
clergier;0;?
consiel;0;ind
lei;0;
inimix;0;
pavor;0;
ire;0;
tels;0;
misse;0;
rei;0;
cumgiet;0;event
Reis;0;
meis;0;
gratia;0;
meis;0;
consilier;0;ind
enveia;0;?
el;0;?
mistier;0;
ira;0;
corropt;0;ind
amix;0;ind
fied;0;
Rex;0;
regnet;0;
parent;0;
amic;0;ind
honors;0;
evesquet;0;ind
anatemaz;0;?
Domine;0;ind
miels;0;
fulc;0;
adunat;0;?
regne;0;
foc;0;
flamma;0;
gladies;0;
medre;0;
exercite;0;ind
ciu;0;ind
ciutat;0;ind
clerjes;0;mass
croix;0;ind
miel;0;
poenas;0;
tiranz;0;
perfides;0;
ols;0;
cap;0;rel-uniq
reclus;0;
lavvras;0;
lingua;0;
terra;0;
piez;0;
pensez;0;
ols;0;
torment;0;
consolament;0;abs
num;0;
cartres;0;?
monstier;0;
servv;0;
labia;0;
merci;0;
poble;0;
raizons;0;
cor;0;rel-uniq
tirant;0;
peis;0;
furor;0;
gran;0;
flaiel;0;
noit;0;
di;0;uniq
meil;0;
om;0;
dom;0;ind
amet;0;ind
beuure;0;mass
claritet;0;abs
roors;0;
flammes;0;
altres;0;pron
omne;0;
causa;0;ind
signes;0;
omne;0;
pais;0;
domine;0;ind
fruit;0;
biens;0;mass
omnes;0;
pez;0;
pechietz;0;
quarz;0;
fel;0;abs
nom;0;
ispieth;0;
queu;0;
piez;0;
dis;0;event
pez;0;
corps;0;rel-uniq
flaiels;0;
anima;0;rel-uniq
sanz;0;
senior;0;
passions;0;
