noun;cardinality;type
Prise;6151;
deesse;5899;ind
Vierge;5800;
justice;5797;
roi;5655;
pucelle;5638;
honneurs;5593;
riens;5522;
Fils;5518;
somme;5368;
conscience;5361;abs
sale;5305;
peres;5242;
trichier;5215;
aliance;5192;abs
parchemin;5079;
parlement;5074;
seigneur;5057;
bourgois;5048;ind
fautre;5012;mass
fil;4992;
linage;4978;
pain;4977;
gentillesse;4969;
crois;4925;ind
ame;4922;rel-uniq
present;4836;
bourgois;4807;ind
largesse;4795;
empereres;4774;rel-uniq
prudence;4689;
glaive;4637;
oubeissance;4575;
voloir;4574;
Eglise;4564;uniq
freour;4532;
branche;4519;ind
anemy;4514;ind
son;4483;
sejours;4468;
une;4452;
aube;4449;rel-uniq
labeur;4416;
courtine;4411;ind
pape;4378;
messages;4364;
royne;4344;
anemy;4324;ind
messages;4320;
lune;4281;
fourme;4213;
Foy;4192;
omme;4183;
dieu;4149;uniq
ouevre;4106;
marche;4101;
enfes;4099;ind
vers;4072;
vers;4064;
scens;4063;
lonc;4056;
messages;4053;
pourveance;4021;
taillant;3981;
froidure;3975;
erre;3968;?
messagier;3966;
neant;3960;
esperis;3952;abs
ans;3947;ind
appel;3936;event
passage;3919;
ans;3909;ind
outrage;3807;
eschiele;3796;ind
compaingne;3775;ind
col;3757;rel-uniq
Grace;3733;
richesse;3696;
prison;3682;
labour;3675;
contredit;3642;ind
ans;3635;ind
pourceaus;3633;
folie;3629;
oncle;3606;
samblance;3598;
ans;3592;ind
mors;3585;
septembre;3562;
rente;3559;
mors;3545;
buef;3540;ind
bouche;3502;rel-uniq
viande;3465;
mondes;3455;
larme;3439;
congnoissance;3425;abs
signes;3388;
royaume;3369;
marrien;3369;
yver;3346;
viconte;3340;
opinion;3309;
hostel;3287;
iaue;3287;
samblant;3283;
eglise;3272;ind
maistres;3259;
effroy;3223;abs
ordre;3216;
seigneur;3205;
promesse;3187;
seigneur;3186;
ille;3175;
especial;3174;ind
souverains;3160;
vin;3160;
franchise;3160;
mention;3159;
escuier;3143;ind
avantage;3139;abs
doute;3137;ind
prime;3133;
evangile;3130;uniq
ans;3128;ind
sentence;3126;
hom;3120;
plait;3107;
premiere;3102;
assentement;3095;event
tel;3080;
champs;3075;ind
devotion;3075;abs
corage;3060;abs
voiage;3038;
lit;3037;
delit;3037;abs
poins;3035;
merci;3035;
rivage;3030;
mors;3028;
respit;3020;
pois;3018;
effort;3008;ind
Sires;3007;
fais;3005;ind
pitez;3001;
champ;2992;ind
paour;2982;
navie;2963;
maistrie;2945;
mestiers;2939;
sanc;2923;
envie;2917;abs
chace;2900;event
maistre;2891;
deliberation;2869;event
mien;2869;
merveille;2861;
