noun;cardinality;type
gent;404;
pechet;287;
carn;279;mass
Judeu;277;
ben;276;mass
honor;270;
fog;269;
mal;263;
mund;260;
vertuz;241;
Judeu;240;
rex;239;
jorn;239;
mot;239;
Judeu;234;
templum;228;
cor;214;rel-uniq
Judeu;214;
man;195;
dols;193;abs
pietad;183;
terra;172;
rei;171;
part;165;
vin;163;
cruz;156;ind
laz;146;
dol;141;abs
part;140;
don;139;?
mercet;135;
mund;129;
temps;122;
fel;119;abs
di;114;uniq
ver;114;
pechet;112;
spiritus;108;
noit;97;
laz;96;
madre;88;
Judeu;85;
noit;75;
bons;74;mass
di;72;uniq
ladrun;72;
mort;69;
vide;67;
hom;62;
terra;60;
om;60;
terra;59;
munument;59;
mercet;55;
ver;54;
corps;52;rel-uniq
carn;50;mass
mort;49;
di;49;uniq
rei;48;
regnum;46;
carn;44;mass
di;43;uniq
cor;43;rel-uniq
bons;43;mass
mort;43;
laz;42;
terra;39;
mort;39;
om;35;
vestiment;34;
mort;33;
mund;31;
di;29;uniq
cruz;29;ind
cruz;28;ind
bons;27;mass
di;25;uniq
ben;25;mass
escarn;24;abs
di;23;uniq
om;22;
cruz;20;ind
monument;18;
monument;17;
raizon;15;
morz;14;
bons;14;mass
emperador;13;rel-uniq
corps;13;rel-uniq
bons;12;mass
om;12;
mal;12;
mund;11;
manjer;7;
forsfait;7;
om;6;
corps;6;rel-uniq
enfern;6;uniq
mund;6;
terra;5;
di;5;uniq
di;4;uniq
felun;3;ind
bons;3;mass
cruz;3;ind
mercit;3;
nona;3;
carn;3;mass
honor;3;
pechet;3;
enfern;3;uniq
monument;3;
pan;2;
vin;2;
sudor;2;
serv;2;
aurelia;2;na
escarn;2;abs
om;2;
sopa;1;
obs;1;
carn;1;mass
pavor;1;
raizun;0;
affanz;0;ind
anz;0;ind
Peccad;0;
nostres;0;
vida;0;
ciutat;0;ind
sos;0;
asne;0;ind
asnez;0;ind
mantelz;0;
mantelz;0;
vestit;0;
assis;0;event
humilitad;0;
prophetes;0;
dis;0;event
dis;0;event
dis;0;event
moniment;0;
reis;0;
morz;0;
palmes;0;
rames;0;
olivers;0;
branches;0;ind
poples;0;
gran;0;
petit;0;
Palis;0;
vestit;0;
palis;0;
mantenls;0;
pez;0;
folcs;0;
gran;0;
petit;0;
enfan;0;ind
ciptad;0;ind
olz;0;
orgolz;0;
an;0;ind
inimic;0;
enfanz;0;ind
penas;0;
murs;0;
maisons;0;
pedra;0;
caitiu;0;ind
genz;0;
tormenz;0;
marchedant;0;
destreit;0;ind
talant;0;
pavors;0;
Judeus;0;
corda;0;ind
marched;0;
cors;0;rel-uniq
envie;0;abs
conselz;0;ind
tradissant;0;
Judeus;0;
rebost;0;
talenz;0;
deners;0;ind
merz;0;
hom;0;
cena;0;ind
fedels;0;ind
ped;0;
saccrament;0;
pan;0;
fidels;0;
sopa;0;
gola;0;
manjer;0;
Judeus;0;
peiz;0;
amic;0;ind
sopar;0;
sermon;0;
tal;0;
afanz;0;ind
fidels;0;
fidels;0;
marrimenz;0;
sags;0;
sudor;0;
gutes;0;
fidels;0;
compannie;0;ind
Judeus;0;
Judeus;0;
ez;0;ind
felun;0;ind
aproismad;0;?
fei;0;abs
menton;0;
tradetur;0;
baisair;0;uniq
Amicx;0;ind
baisol;0;ind
cobetad;0;?
Armand;0;na
anels;0;ind
fer;0;
aurelia;0;na
serv;0;
mans;0;
ladron;0;
fedel;0;ind
fin;0;
felon;0;ind
ested;0;rel-uniq
pontifex;0;
fied;0;
fils;0;
fellon;0;ind
forsfait;0;
ols;0;
fellon;0;ind
prophete;0;
estras;0;ind
useire;0;
raison;0;
fil;0;
jalz;0;
vez;0;
matins;0;
mel;0;
vises;0;
respondre;0;
Vida;0;
forsfaiz;0;
fellunt;0;ind
voz;0;
amics;0;ind
mans;0;
pechez;0;
raisons;0;
fellun;0;ind
cort;0;rel-uniq
purpure;0;
raus;0;
corona;0;rel-uniq
espines;0;ind
cab;0;?
fellun;0;ind
genolz;0;
fellon;0;ind
senior;0;
emperador;0;rel-uniq
vestiment;0;
Femnes;0;ind
pius;0;
femnes;0;ind
fillies;0;
filz;0;
obs;0;
porta;0;
ciptat;0;ind
chamisae;0;ind
custurae;0;?
sort;0;
vestimenz;0;
signa;0;
fet;0;
vertet;0;
fidel;0;
regnaz;0;
caritad;0;abs
feluns;0;ind
fel;0;abs
vin;0;
lasruns;0;
escarn;0;abs
cridaizun;0;?
ladruns;0;
rei;0;
altre;0;pron
tort;0;
dreit;0;ind
colpas;0;abs
ahanz;0;abs
olz;0;
ren;0;
bons;0;mass
rex;0;
don;0;?
vide;0;
ladrun;0;
noit;0;
mercit;0;
pecaz;0;
pietad;0;
meidi;0;
noiz;0;
solelz;0;
luna;0;
nona;0;
criz;0;ind
Uns;0;
felluns;0;ind
azit;0;?
anma;0;rel-uniq
roches;0;
munt;0;
sepulcra;0;
sanz;0;
sanz;0;
templum;0;
cortine;0;ind
mei;0;
croz;0;ind
dols;0;abs
cor;0;rel-uniq
chamsils;0;rel-uniq
unguement;0;
mirra;0;
liuras;0;
honor;0;
pimenc;0;
temps;0;
virgo;0;
peched;0;
felluns;0;ind
gardes;0;
fidel;0;
errors;0;ind
pece;0;
vassalz;0;
charns;0;mass
mort;0;
omne;0;
vertud;0;
enffant;0;ind
petitet;0;
gran;0;
anz;0;ind
lei;0;
Argent;0;mass
aur;0;mass
sang;0;
enfern;0;uniq
mattin;0;
soleilz;0;
femnes;0;ind
unguemenz;0;
angeles;0;ind
monument;0;
regard;0;
focs;0;
neus;0;
vestimenz;0;
custod;0;?
terra;0;
pavor;0;
peddre;0;
angel;0;ind
femnes;0;ind
loc;0;
corps;0;rel-uniq
fidels;0;
redemptor;0;
seindrae;0;
munument;0;
di;0;uniq
vesprae;0;
ser;0;
fidel;0;
castel;0;ind
fidel;0;
me;0;
mans;0;
peds;0;
laz;0;
plages;0;
carn;0;mass
spiritus;0;
Mel;0;
peison;0;
veritad;0;
peisons;0;
mels;0;
raizon;0;
madre;0;
fidels;0;
dis;0;event
semblanz;0;
Signes;0;
fidel;0;
Lingues;0;
veren;0;
ver;0;
malabdes;0;
mans;0;
sanitad;0;
mont;0;
man;0;
nuvols;0;
mal;0;
fidel;0;
jorn;0;
fugs;0;
mot;0;
vertuz;0;
Judeu;0;
lengatges;0;
virtuz;0;
om;0;
signes;0;
podestad;0;
gent;0;
dol;0;abs
fidels;0;
afanz;0;ind
cruz;0;ind
espades;0;ind
fog;0;
gradilie;0;
cap;0;rel-uniq
pugnes;0;
voluntez;0;
part;0;
fidels;0;
finimunz;0;
regnum;0;
ben;0;mass
mund;0;
pechet;0;
mercet;0;
pechedors;0;
raizons;0;
pitad;0;
graciae;0;
paire;0;
gloriae;0;
