noun;cardinality;type
gent;404;
pechet;287;
carn;279;
Judeu;277;
ben;276;
honor;270;
fog;269;
mal;263;
mund;260;
vertuz;241;
Judeu;240;
rex;239;
jorn;239;
mot;239;
Judeu;234;
templum;228;
cor;214;
Judeu;214;
man;195;
dols;193;
pietad;183;
terra;172;
rei;171;
part;165;
vin;163;
cruz;156;
laz;146;
dol;141;
part;140;
don;139;
mercet;135;
mund;129;
temps;122;
fel;119;
di;114;
ver;114;
pechet;112;
spiritus;108;
noit;97;
laz;96;
madre;88;
Judeu;85;
noit;75;
bons;74;
di;72;
ladrun;72;
mort;69;
vide;67;
hom;62;
terra;60;
om;60;
terra;59;
munument;59;
mercet;55;
ver;54;
corps;52;
carn;50;
mort;49;
di;49;
rei;48;
regnum;46;
carn;44;
di;43;
cor;43;
bons;43;
mort;43;
laz;42;
terra;39;
mort;39;
om;35;
vestiment;34;
mort;33;
mund;31;
di;29;
cruz;29;
cruz;28;
bons;27;
di;25;
ben;25;
escarn;24;
di;23;
om;22;
cruz;20;
monument;18;
monument;17;
raizon;15;
morz;14;
bons;14;
emperador;13;
corps;13;
bons;12;
om;12;
mal;12;
mund;11;
manjer;7;
forsfait;7;
om;6;
corps;6;
enfern;6;
mund;6;
terra;5;
di;5;
di;4;
felun;3;
bons;3;
cruz;3;
mercit;3;
nona;3;
carn;3;
honor;3;
pechet;3;
enfern;3;
monument;3;
pan;2;
vin;2;
sudor;2;
serv;2;
aurelia;2;
escarn;2;
om;2;
sopa;1;
obs;1;
carn;1;
pavor;1;
raizun;0;
affanz;0;
anz;0;
Peccad;0;
nostres;0;
vida;0;
ciutat;0;
sos;0;
asne;0;
asnez;0;
mantelz;0;
mantelz;0;
vestit;0;
assis;0;
humilitad;0;
prophetes;0;
dis;0;
dis;0;
dis;0;
moniment;0;
reis;0;
morz;0;
palmes;0;
rames;0;
olivers;0;
branches;0;
poples;0;
gran;0;
petit;0;
Palis;0;
vestit;0;
palis;0;
mantenls;0;
pez;0;
folcs;0;
gran;0;
petit;0;
enfan;0;
ciptad;0;
olz;0;
orgolz;0;
an;0;
inimic;0;
enfanz;0;
penas;0;
murs;0;
maisons;0;
pedra;0;
caitiu;0;
genz;0;
tormenz;0;
marchedant;0;
destreit;0;
talant;0;
pavors;0;
Judeus;0;
corda;0;
marched;0;
cors;0;
envie;0;
conselz;0;
tradissant;0;
Judeus;0;
rebost;0;
talenz;0;
deners;0;
merz;0;
hom;0;
cena;0;
fedels;0;
ped;0;
saccrament;0;
pan;0;
fidels;0;
sopa;0;
gola;0;
manjer;0;
Judeus;0;
peiz;0;
amic;0;
sopar;0;
sermon;0;
tal;0;
afanz;0;
fidels;0;
fidels;0;
marrimenz;0;
sags;0;
sudor;0;
gutes;0;
fidels;0;
compannie;0;
Judeus;0;
Judeus;0;
ez;0;
felun;0;
aproismad;0;
fei;0;
menton;0;
tradetur;0;
baisair;0;
Amicx;0;
baisol;0;
cobetad;0;
Armand;0;
anels;0;
fer;0;
aurelia;0;
serv;0;
mans;0;
ladron;0;
fedel;0;
fin;0;
felon;0;
ested;0;
pontifex;0;
fied;0;
fils;0;
fellon;0;
forsfait;0;
ols;0;
fellon;0;
prophete;0;
estras;0;
useire;0;
raison;0;
fil;0;
jalz;0;
vez;0;
matins;0;
mel;0;
vises;0;
respondre;0;
Vida;0;
forsfaiz;0;
fellunt;0;
voz;0;
amics;0;
mans;0;
pechez;0;
raisons;0;
fellun;0;
cort;0;
purpure;0;
raus;0;
corona;0;
espines;0;
cab;0;
fellun;0;
genolz;0;
fellon;0;
senior;0;
emperador;0;
vestiment;0;
Femnes;0;
pius;0;
femnes;0;
fillies;0;
filz;0;
obs;0;
porta;0;
ciptat;0;
chamisae;0;
custurae;0;
sort;0;
vestimenz;0;
signa;0;
fet;0;
vertet;0;
fidel;0;
regnaz;0;
caritad;0;
feluns;0;
fel;0;
vin;0;
lasruns;0;
escarn;0;
cridaizun;0;
ladruns;0;
rei;0;
altre;0;
tort;0;
dreit;0;
colpas;0;
ahanz;0;
olz;0;
ren;0;
bons;0;
rex;0;
don;0;
vide;0;
ladrun;0;
noit;0;
mercit;0;
pecaz;0;
pietad;0;
meidi;0;
noiz;0;
solelz;0;
luna;0;
nona;0;
criz;0;
Uns;0;
felluns;0;
azit;0;
anma;0;
roches;0;
munt;0;
sepulcra;0;
sanz;0;
sanz;0;
templum;0;
cortine;0;
mei;0;
croz;0;
dols;0;
cor;0;
chamsils;0;
unguement;0;
mirra;0;
liuras;0;
honor;0;
pimenc;0;
temps;0;
virgo;0;
peched;0;
felluns;0;
gardes;0;
fidel;0;
errors;0;
pece;0;
vassalz;0;
charns;0;
mort;0;
omne;0;
vertud;0;
enffant;0;
petitet;0;
gran;0;
anz;0;
lei;0;
Argent;0;
aur;0;
sang;0;
enfern;0;
mattin;0;
soleilz;0;
femnes;0;
unguemenz;0;
angeles;0;
monument;0;
regard;0;
focs;0;
neus;0;
vestimenz;0;
custod;0;
terra;0;
pavor;0;
peddre;0;
angel;0;
femnes;0;
loc;0;
corps;0;
fidels;0;
redemptor;0;
seindrae;0;
munument;0;
di;0;
vesprae;0;
ser;0;
fidel;0;
castel;0;
fidel;0;
me;0;
mans;0;
peds;0;
laz;0;
plages;0;
carn;0;
spiritus;0;
Mel;0;
peison;0;
veritad;0;
peisons;0;
mels;0;
raizon;0;
madre;0;
fidels;0;
dis;0;
semblanz;0;
Signes;0;
fidel;0;
Lingues;0;
veren;0;
ver;0;
malabdes;0;
mans;0;
sanitad;0;
mont;0;
man;0;
nuvols;0;
mal;0;
fidel;0;
jorn;0;
fugs;0;
mot;0;
vertuz;0;
Judeu;0;
lengatges;0;
virtuz;0;
om;0;
signes;0;
podestad;0;
gent;0;
dol;0;
fidels;0;
afanz;0;
cruz;0;
espades;0;
fog;0;
gradilie;0;
cap;0;
pugnes;0;
voluntez;0;
part;0;
fidels;0;
finimunz;0;
regnum;0;
ben;0;
mund;0;
pechet;0;
mercet;0;
pechedors;0;
raizons;0;
pitad;0;
graciae;0;
paire;0;
gloriae;0;
