noun;cardinality;type;textfile;id
sanz;277;;#0980-leger-v.psd#;0980-LEGER-V,I.5
bien;208;mass;#0980-leger-v.psd#;0980-LEGER-V,VII.44
corps;198;rel-uniq;#0980-leger-v.psd#;0980-LEGER-V,II.10
torment;198;;#0980-leger-v.psd#;0980-LEGER-V,II.10
senior;192;;#0980-leger-v.psd#;0980-LEGER-V,XIII.87
raizons;187;;#0980-leger-v.psd#;0980-LEGER-V,VI.36
Domine;151;ind;#0980-leger-v.psd#;0980-LEGER-V,I.4
omne;151;;#0980-leger-v.psd#;0980-LEGER-V,XIII.90
honor;144;;#0980-leger-v.psd#;0980-LEGER-V,I.4
num;142;;#0980-leger-v.psd#;0980-LEGER-V,X.67
di;135;uniq;#0980-leger-v.psd#;0980-LEGER-V,XIV.93
parent;130;;#0980-leger-v.psd#;0980-LEGER-V,III.13
fied;115;;#0980-leger-v.psd#;0980-LEGER-V,IV.22
pais;114;;#0980-leger-v.psd#;0980-LEGER-V,XIX.128
om;100;;#0980-leger-v.psd#;0980-LEGER-V,XIII.86
di;81;uniq;#0980-leger-v.psd#;0980-LEGER-V,III.13
queu;79;;#0980-leger-v.psd#;0980-LEGER-V,XXVII.178
monstier;77;;#0980-leger-v.psd#;0980-LEGER-V,XIX.130
piez;71;;#0980-leger-v.psd#;0980-LEGER-V,XXVIII.186
dom;70;ind;#0980-leger-v.psd#;0980-LEGER-V,XXIV.158
corps;62;rel-uniq;#0980-leger-v.psd#;0980-LEGER-V,XXIX.194
regnet;56;;#0980-leger-v.psd#;0980-LEGER-V,XII.83
om;51;;#0980-leger-v.psd#;0980-LEGER-V,VI.33
gratia;48;;#0980-leger-v.psd#;0980-LEGER-V,VIII.55
om;46;;#0980-leger-v.psd#;0980-LEGER-V,XXVI.175
reis;41;;#0980-leger-v.psd#;0980-LEGER-V,IV.20
queu;41;;#0980-leger-v.psd#;0980-LEGER-V,XXI.142
ira;38;;#0980-leger-v.psd#;0980-LEGER-V,XIII.87
monstier;37;;#0980-leger-v.psd#;0980-LEGER-V,XI.77
domine;36;ind;#0980-leger-v.psd#;0980-LEGER-V,XXX.200
evesquet;34;ind;#0980-leger-v.psd#;0980-LEGER-V,XVI.110
consilier;33;ind;#0980-leger-v.psd#;0980-LEGER-V,XII.80
mistier;29;;#0980-leger-v.psd#;0980-LEGER-V,XIV.94
temps;25;;#0980-leger-v.psd#;0980-LEGER-V,III.13
rei;24;;#0980-leger-v.psd#;0980-LEGER-V,XI.74
miel;24;;#0980-leger-v.psd#;0980-LEGER-V,XVII.119
ols;23;;#0980-leger-v.psd#;0980-LEGER-V,XXVI.173
Reis;22;;#0980-leger-v.psd#;0980-LEGER-V,XII.80
monstier;15;;#0980-leger-v.psd#;0980-LEGER-V,XVII.116
flaiel;15;;#0980-leger-v.psd#;0980-LEGER-V,XXX.200
rei;13;;#0980-leger-v.psd#;0980-LEGER-V,VII.45
pez;13;;#0980-leger-v.psd#;0980-LEGER-V,XXXVIII.248
omne;11;;#0980-leger-v.psd#;0980-LEGER-V,XXXVI.235
temps;8;;#0980-leger-v.psd#;0980-LEGER-V,I.6
rei;8;;#0980-leger-v.psd#;0980-LEGER-V,III.13
miel;7;;#0980-leger-v.psd#;0980-LEGER-V,XXIII.153
miel;7;;#0980-leger-v.psd#;0980-LEGER-V,XXIV.162
meis;6;;#0980-leger-v.psd#;0980-LEGER-V,XV.101
miel;6;;#0980-leger-v.psd#;0980-LEGER-V,XXI.141
corps;6;rel-uniq;#0980-leger-v.psd#;0980-LEGER-V,XXXIX.253
monstier;5;;#0980-leger-v.psd#;0980-LEGER-V,XVI.111
rei;4;;#0980-leger-v.psd#;0980-LEGER-V,IX.63
bien;3;mass;#0980-leger-v.psd#;0980-LEGER-V,VII.42
rei;3;;#0980-leger-v.psd#;0980-LEGER-V,X.70
miel;1;;#0980-leger-v.psd#;0980-LEGER-V,XXIV.161
corps;1;rel-uniq;#0980-leger-v.psd#;0980-LEGER-V,XXXIX.256
sancz;0;;#0980-leger-v.psd#;
amor;0;abs;#0980-leger-v.psd#;
aanz;0;ind;#0980-leger-v.psd#;
honors;0;;#0980-leger-v.psd#;
seniors;0;;#0980-leger-v.psd#;
aanz;0;ind;#0980-leger-v.psd#;
deumentiz;0;na;#0980-leger-v.psd#;
infans;0;;#0980-leger-v.psd#;
fils;0;;#0980-leger-v.psd#;
litteras;0;;#0980-leger-v.psd#;
ebisque;0;ind;#0980-leger-v.psd#;
magistre;0;;#0980-leger-v.psd#;
art;0;abs;#0980-leger-v.psd#;
tiemps;0;;#0980-leger-v.psd#;
abbas;0;rel-uniq;#0980-leger-v.psd#;
juvent;0;;#0980-leger-v.psd#;
temps;0;;#0980-leger-v.psd#;
caritet;0;abs;#0980-leger-v.psd#;
fid;0;;#0980-leger-v.psd#;
veritiet;0;;#0980-leger-v.psd#;
sermons;0;;#0980-leger-v.psd#;
humilitiet;0;;#0980-leger-v.psd#;
curt;0;rel;#0980-leger-v.psd#;
evesque;0;ind;#0980-leger-v.psd#;
reis;0;;#0980-leger-v.psd#;
damz;0;ind;#0980-leger-v.psd#;
baron;0;ind;#0980-leger-v.psd#;
fiet;0;;#0980-leger-v.psd#;
compte;0;ind;#0980-leger-v.psd#;
estrit;0;ind;#0980-leger-v.psd#;
fredre;0;;#0980-leger-v.psd#;
piers;0;;#0980-leger-v.psd#;
gred;0;;#0980-leger-v.psd#;
conseil;0;ind;#0980-leger-v.psd#;
gret;0;;#0980-leger-v.psd#;
dol;0;abs;#0980-leger-v.psd#;
duol;0;abs;#0980-leger-v.psd#;
clergier;0;?;#0980-leger-v.psd#;
consiel;0;ind;#0980-leger-v.psd#;
lei;0;;#0980-leger-v.psd#;
inimix;0;;#0980-leger-v.psd#;
pavor;0;;#0980-leger-v.psd#;
ire;0;;#0980-leger-v.psd#;
tels;0;;#0980-leger-v.psd#;
misse;0;;#0980-leger-v.psd#;
rei;0;;#0980-leger-v.psd#;
cumgiet;0;event;#0980-leger-v.psd#;
Reis;0;;#0980-leger-v.psd#;
gratia;0;;#0980-leger-v.psd#;
meis;0;;#0980-leger-v.psd#;
consilier;0;ind;#0980-leger-v.psd#;
enveia;0;?;#0980-leger-v.psd#;
el;0;?;#0980-leger-v.psd#;
mistier;0;;#0980-leger-v.psd#;
ira;0;;#0980-leger-v.psd#;
corropt;0;ind;#0980-leger-v.psd#;
amix;0;ind;#0980-leger-v.psd#;
fied;0;;#0980-leger-v.psd#;
Rex;0;;#0980-leger-v.psd#;
regnet;0;;#0980-leger-v.psd#;
parent;0;;#0980-leger-v.psd#;
