noun;cardinality;type;id
sanz;277;;0980-LEGER-V,I.5
bien;208;mass;0980-LEGER-V,VII.44
corps;198;rel-uniq;0980-LEGER-V,II.10
torment;198;;0980-LEGER-V,II.10
senior;192;;0980-LEGER-V,XIII.87
raizons;187;;0980-LEGER-V,VI.36
Domine;151;ind;0980-LEGER-V,I.4
omne;151;;0980-LEGER-V,XIII.90
honor;144;;0980-LEGER-V,I.4
num;142;;0980-LEGER-V,X.67
di;135;uniq;0980-LEGER-V,XIV.93
parent;130;;0980-LEGER-V,III.13
fied;115;;0980-LEGER-V,IV.22
pais;114;;0980-LEGER-V,XIX.128
om;100;;0980-LEGER-V,XIII.86
di;81;uniq;0980-LEGER-V,III.13
queu;79;;0980-LEGER-V,XXVII.178
monstier;77;;0980-LEGER-V,XIX.130
piez;71;;0980-LEGER-V,XXVIII.186
dom;70;ind;0980-LEGER-V,XXIV.158
corps;62;rel-uniq;0980-LEGER-V,XXIX.194
regnet;56;;0980-LEGER-V,XII.83
om;51;;0980-LEGER-V,VI.33
gratia;48;;0980-LEGER-V,VIII.55
om;46;;0980-LEGER-V,XXVI.175
reis;41;;0980-LEGER-V,IV.20
queu;41;;0980-LEGER-V,XXI.142
ira;38;;0980-LEGER-V,XIII.87
monstier;37;;0980-LEGER-V,XI.77
domine;36;ind;0980-LEGER-V,XXX.200
evesquet;34;ind;0980-LEGER-V,XVI.110
consilier;33;ind;0980-LEGER-V,XII.80
mistier;29;;0980-LEGER-V,XIV.94
temps;25;;0980-LEGER-V,III.13
rei;24;;0980-LEGER-V,XI.74
miel;24;;0980-LEGER-V,XVII.119
ols;23;;0980-LEGER-V,XXVI.173
Reis;22;;0980-LEGER-V,XII.80
monstier;15;;0980-LEGER-V,XVII.116
flaiel;15;;0980-LEGER-V,XXX.200
rei;13;;0980-LEGER-V,VII.45
pez;13;;0980-LEGER-V,XXXVIII.248
omne;11;;0980-LEGER-V,XXXVI.235
temps;8;;0980-LEGER-V,I.6
rei;8;;0980-LEGER-V,III.13
miel;7;;0980-LEGER-V,XXIII.153
miel;7;;0980-LEGER-V,XXIV.162
meis;6;;0980-LEGER-V,XV.101
miel;6;;0980-LEGER-V,XXI.141
corps;6;rel-uniq;0980-LEGER-V,XXXIX.253
monstier;5;;0980-LEGER-V,XVI.111
rei;4;;0980-LEGER-V,IX.63
bien;3;mass;0980-LEGER-V,VII.42
rei;3;;0980-LEGER-V,X.70
miel;1;;0980-LEGER-V,XXIV.161
corps;1;rel-uniq;0980-LEGER-V,XXXIX.256
sancz;0;;
amor;0;abs;
aanz;0;ind;
honors;0;;
seniors;0;;
aanz;0;ind;
deumentiz;0;na;
infans;0;;
fils;0;;
litteras;0;;
ebisque;0;ind;
magistre;0;;
art;0;abs;
tiemps;0;;
abbas;0;rel-uniq;
juvent;0;;
temps;0;;
caritet;0;abs;
fid;0;;
veritiet;0;;
sermons;0;;
humilitiet;0;;
curt;0;rel;
evesque;0;ind;
reis;0;;
damz;0;ind;
baron;0;ind;
fiet;0;;
compte;0;ind;
estrit;0;ind;
fredre;0;;
piers;0;;
gred;0;;
conseil;0;ind;
gret;0;;
dol;0;abs;
duol;0;abs;
clergier;0;?;
consiel;0;ind;
lei;0;;
inimix;0;;
pavor;0;;
ire;0;;
tels;0;;
misse;0;;
rei;0;;
cumgiet;0;event;
Reis;0;;
gratia;0;;
meis;0;;
consilier;0;ind;
enveia;0;?;
el;0;?;
mistier;0;;
ira;0;;
corropt;0;ind;
amix;0;ind;
fied;0;;
Rex;0;;
regnet;0;;
parent;0;;
amic;0;ind;
honors;0;;
evesquet;0;ind;
anatemaz;0;?;
Domine;0;ind;
miels;0;;
fulc;0;;
adunat;0;?;
regne;0;;
foc;0;;
flamma;0;;
gladies;0;;
medre;0;;
exercite;0;ind;
ciu;0;ind;
ciutat;0;ind;
clerjes;0;mass;
croix;0;ind;
miel;0;;
poenas;0;;
tiranz;0;;
perfides;0;;
cap;0;rel-uniq;
reclus;0;;
lavvras;0;;
lingua;0;;
terra;0;;
pensez;0;;
ols;0;;
torment;0;;
consolament;0;abs;
num;0;;
cartres;0;?;
monstier;0;;
servv;0;;
labia;0;;
merci;0;;
poble;0;;
raizons;0;;
cor;0;rel-uniq;
tirant;0;;
peis;0;;
furor;0;;
gran;0;;
flaiel;0;;
noit;0;;
di;0;uniq;
meil;0;;
om;0;;
dom;0;ind;
amet;0;ind;
beuure;0;mass;
claritet;0;abs;
roors;0;;
flammes;0;;
altres;0;pron;
omne;0;;
causa;0;ind;
signes;0;;
pais;0;;
domine;0;ind;
fruit;0;;
biens;0;mass;
omnes;0;;
pechietz;0;;
quarz;0;;
fel;0;abs;
nom;0;;
ispieth;0;;
queu;0;;
piez;0;;
dis;0;event;
pez;0;;
corps;0;rel-uniq;
flaiels;0;;
anima;0;rel-uniq;
sanz;0;;
senior;0;;
passions;0;;
