noun;cardinality;type;id
gent;466;;1000-PASSION-BFM-P,98.23
dis;424;event;1000-PASSION-BFM-P,97.21
di;400;uniq;1000-PASSION-BFM-P,99.38
afanz;398;ind;1000-PASSION-BFM-P,102.74
anz;373;ind;1000-PASSION-BFM-P,96.6
ped;350;;1000-PASSION-BFM-P,101.63
gran;339;;1000-PASSION-BFM-P,99.30
an;327;ind;1000-PASSION-BFM-P,99.38
ben;326;mass;1000-PASSION-BFM-P,105.114
Judeu;326;;1000-PASSION-BFM-P,106.120
carn;321;mass;1000-PASSION-BFM-P,96.6
fog;316;;1000-PASSION-BFM-P,107.134
mal;312;;1000-PASSION-BFM-P,105.114
honor;308;;1000-PASSION-BFM-P,98.23
mund;300;;1000-PASSION-BFM-P,95.4
fidels;288;;1000-PASSION-BFM-P,104.89
jorn;281;;1000-PASSION-BFM-P,108.147
mot;281;;1000-PASSION-BFM-P,108.152
rex;274;;1000-PASSION-BFM-P,97.20
templum;259;;1000-PASSION-BFM-P,100.48
mel;247;;1000-PASSION-BFM-P,108.146
olz;245;;1000-PASSION-BFM-P,99.33
cor;245;rel-uniq;1000-PASSION-BFM-P,102.66
man;231;;1000-PASSION-BFM-P,110.180
dols;223;abs;1000-PASSION-BFM-P,103.83
pietad;209;;1000-PASSION-BFM-P,102.70
mans;202;;1000-PASSION-BFM-P,109.173
terra;199;;1000-PASSION-BFM-P,103.87
rei;192;;1000-PASSION-BFM-P,98.25
vin;187;;1000-PASSION-BFM-P,102.66
cruz;185;ind;1000-PASSION-BFM-P,114.232
laz;173;;1000-PASSION-BFM-P,105.111
part;168;;1000-PASSION-BFM-P,116.255
don;165;?;1000-PASSION-BFM-P,104.98
mercet;162;;1000-PASSION-BFM-P,117.266
mund;153;;1000-PASSION-BFM-P,114.227
temps;144;;1000-PASSION-BFM-P,108.149
felun;143;ind;1000-PASSION-BFM-P,104.95
fel;142;abs;1000-PASSION-BFM-P,104.99
amic;137;ind;1000-PASSION-BFM-P,102.71
ver;135;;1000-PASSION-BFM-P,115.247
pechet;134;;1000-PASSION-BFM-P,118.282
femnes;130;ind;1000-PASSION-BFM-P,110.192
di;129;uniq;1000-PASSION-BFM-P,101.62
spiritus;128;;1000-PASSION-BFM-P,114.234
vestimenz;123;;1000-PASSION-BFM-P,111.201
noit;114;;1000-PASSION-BFM-P,107.136
laz;113;;1000-PASSION-BFM-P,115.244
madre;105;;1000-PASSION-BFM-P,116.259
fidel;91;;1000-PASSION-BFM-P,111.203
bons;88;mass;1000-PASSION-BFM-P,108.152
di;85;uniq;1000-PASSION-BFM-P,108.156
noit;84;;1000-PASSION-BFM-P,103.76
ladrun;83;;1000-PASSION-BFM-P,109.161
mort;79;;1000-PASSION-BFM-P,113.222
vide;78;;1000-PASSION-BFM-P,109.164
mans;77;;1000-PASSION-BFM-P,105.116
hom;73;;1000-PASSION-BFM-P,96.8
om;73;;1000-PASSION-BFM-P,118.281
munument;71;;1000-PASSION-BFM-P,116.261
terra;69;;1000-PASSION-BFM-P,114.242
fellon;68;ind;1000-PASSION-BFM-P,107.131
fellun;67;ind;1000-PASSION-BFM-P,110.182
ver;65;;1000-PASSION-BFM-P,111.202
terra;64;;1000-PASSION-BFM-P,99.39
mercet;62;;1000-PASSION-BFM-P,113.221
mort;60;;1000-PASSION-BFM-P,109.173
corps;60;rel-uniq;1000-PASSION-BFM-P,116.258
carn;59;mass;1000-PASSION-BFM-P,118.283
rei;58;;1000-PASSION-BFM-P,109.168
di;57;uniq;1000-PASSION-BFM-P,113.223
regnum;56;;1000-PASSION-BFM-P,122.339
carn;53;mass;1000-PASSION-BFM-P,115.246
mort;49;;1000-PASSION-BFM-P,105.109
terra;48;;1000-PASSION-BFM-P,96.6
di;47;uniq;1000-PASSION-BFM-P,98.25
fidel;47;;1000-PASSION-BFM-P,117.268
fidels;45;;1000-PASSION-BFM-P,119.300
fidels;45;;1000-PASSION-BFM-P,122.337
mort;44;;1000-PASSION-BFM-P,103.78
bons;43;mass;1000-PASSION-BFM-P,102.70
felluns;40;ind;1000-PASSION-BFM-P,114.232
om;40;;1000-PASSION-BFM-P,121.335
vestiment;38;;1000-PASSION-BFM-P,108.157
mort;37;;1000-PASSION-BFM-P,108.145
mund;37;;1000-PASSION-BFM-P,122.340
bons;34;mass;1000-PASSION-BFM-P,105.114
mans;33;;1000-PASSION-BFM-P,121.323
ben;33;mass;1000-PASSION-BFM-P,123.357
escarn;32;abs;1000-PASSION-BFM-P,110.184
cruz;31;ind;1000-PASSION-BFM-P,112.213
di;31;uniq;1000-PASSION-BFM-P,118.286
cruz;30;ind;1000-PASSION-BFM-P,109.165
cor;29;rel-uniq;1000-PASSION-BFM-P,99.32
Judeus;28;;1000-PASSION-BFM-P,102.69
cruz;27;ind;1000-PASSION-BFM-P,110.186
di;27;uniq;1000-PASSION-BFM-P,117.267
om;26;;1000-PASSION-BFM-P,116.262
